alert_id,ip_address,ip_address_v6,mac_address,report_date,assigned_to,severity,incident_type,description,suggested_solution,recommended_playbook
750,192.228.31.239,738b:7235:8358:d33b:1092:767c:a67b:17f1,2D-EB-B5-8F-4F-3E,9/6/2021,Rick (Lvl 3 Analyst),Mild,Incident Response (Breach),"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.","Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",Open-ServiceDeskPlusOnDemand-Ticket
751,110.104.202.138,b441:37e3:c33c:486e:fb64:81e2:e77d:3ae4,DB-6F-91-2E-E6-E3,10/11/2021,Morty (Lvl 1 Analyst),Mild,Incident Response (Breach),"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Remove-MDEAppExecution
752,176.216.166.213,b53:fe59:fdf0:8677:c444:ba8a:64b6:301f,42-7F-3D-C0-98-58,2/18/2022,Morty (Lvl 1 Analyst),Critical,Forensics,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Revoke-AADSignInSessions
753,117.247.211.187,ece8:78e1:29dd:7d11:c97:5d7d:7fb5:971c,85-DB-30-9D-80-48,3/31/2022,Morty (Lvl 1 Analyst),Critical,Incident Response (Phishing),"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.","In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",AD4IoT-NewAssetServiceNowTicket
754,77.70.218.27,c7b0:4613:6d84:ba5c:122c:529e:aafb:4231,BE-8E-8A-2D-2F-00,3/9/2022,Morty (Lvl 1 Analyst),High,Passive Threat Detection (Maicious URL),"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.","Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Guardicore-Import-Incidents
755,166.126.123.200,7eb0:7eaf:83ca:a91a:83e1:956f:ca:b909,74-E6-03-AF-F2-11,6/28/2021,Rick (Lvl 3 Analyst),High,Passive Threat Detection (Failed Brute Force Attempt),In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Open-ServiceDeskPlusOnDemand-Ticket
756,43.71.233.156,1407:504a:b389:936f:142f:326f:1228:d74f,DC-2B-53-35-2D-C2,12/3/2021,Rick (Lvl 3 Analyst),Medium,Infrastructure Maintenance/Development,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.","Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",RecordedFuture_IP_Enrichment
757,92.146.208.35,5f97:1c8f:49dd:4819:222e:4e31:569c:88c3,CE-2C-9C-BB-70-06,9/29/2021,Morty (Lvl 1 Analyst),High,Incident Response (Phishing),"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.","Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",Dismiss-AADRiskyUser
758,61.99.248.177,6da3:3ddb:a378:3338:ed46:1bb0:42d0:78dc,DD-EA-33-11-23-8C,6/11/2021,Rick (Lvl 3 Analyst),Medium,Incident Response (Phishing),Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,RecordedFuture_Dom_C2_DNS_Namem
759,209.251.233.230,37c9:b46a:2071:c193:f77a:6586:6da2:a644,3E-A9-21-83-79-88,8/19/2021,Morty (Lvl 1 Analyst),High,Passive Threat Detection (Traffic from known Bad IP),"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",Sed ante. Vivamus tortor. Duis mattis egestas metus.,Get-VirusTotalFileInfo
760,106.134.98.192,b84d:95ea:f14b:49e0:7162:f2fd:d642:a9b3,C8-71-61-08-09-BF,4/2/2022,Summer (Lvl 2 Analyst),Medium,Active Threat Hunting,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.","In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",Create-AzureSnapshot
761,120.153.39.236,6b64:5233:2119:dd11:1159:2d3a:51ac:b6f3,7A-A3-8A-1E-C9-88,3/11/2022,Morty (Lvl 1 Analyst),High,Passive Threat Detection (Failed Brute Force Attempt),"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.","Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",Incident-Email-Notification
762,35.25.187.148,a91:9d38:c585:9a0f:4031:d9bc:5134:98a,F6-85-34-8C-35-37,6/7/2021,Summer (Lvl 2 Analyst),Critical,Incident Response (Phishing),"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.","Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",Dismiss-AADRiskyUser
763,165.182.224.35,5515:5187:27e4:287c:c425:e83f:4393:371c,5E-53-D7-19-F4-9E,8/16/2021,Summer (Lvl 2 Analyst),Medium,Active Threat Hunting,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.","Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Fortinet-FortiGate
764,136.84.68.177,3d05:4817:60b2:7c95:c9e6:a491:5d1d:1e16,C0-B8-38-FB-C0-2B,3/16/2022,Rick (Lvl 3 Analyst),High,Passive Threat Detection (Maicious URL),"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.","Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Get-TenableVlun
765,128.125.216.175,172d:fa8a:e3ea:f61d:aaed:1a3:6eeb:9a53,43-F7-92-85-45-A1,8/6/2021,Morty (Lvl 1 Analyst),Mild,Active Threat Hunting,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",Spur-Enrichment
766,132.146.243.118,b188:9fcd:5fe:8548:466:8c22:69f6:5e65,53-E7-3E-0B-4E-EA,3/19/2022,Morty (Lvl 1 Analyst),Critical,Passive Threat Detection (Maicious URL),"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.","Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",F5BigIP
767,129.127.125.66,eeaa:acb8:5e7:955e:1a63:bbdc:172a:3496,0D-98-15-B3-20-2B,9/25/2021,Rick (Lvl 3 Analyst),Medium,Passive Threat Detection (Traffic from known Bad IP),"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.","Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Block-IPs-on-MDATP-Using-GraphSecurity
768,57.203.4.100,2d2a:f6b6:1b21:d9d6:cf89:3f30:d934:5481,0F-FD-AE-A7-5F-C0,8/6/2021,Morty (Lvl 1 Analyst),Medium,Passive Threat Detection (Failed Brute Force Attempt),"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.","Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",RecordedFuture-Block-IPs-and-Domains-on-Microsoft-Defender-for-Endpoint
769,132.140.234.23,511d:7643:438a:eec5:b586:b27a:b573:9cb0,BB-D3-66-47-C2-3C,5/1/2022,Rick (Lvl 3 Analyst),High,Passive Threat Detection (Failed Brute Force Attempt),"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.","Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",RecordedFuture_IP_SCF
770,253.159.226.56,b2de:3003:1dff:e6b6:7e53:8073:6671:319d,9A-F1-BD-2F-49-A3,10/17/2021,Summer (Lvl 2 Analyst),High,Incident Response (Phishing),"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,Watchlist-CloseIncidentKnownIPs
771,12.122.120.251,568b:9fd0:d39e:8bdb:ded0:9627:4a8c:353c,22-72-04-D9-05-D7,1/26/2022,Summer (Lvl 2 Analyst),Medium,Passive Threat Detection (Maicious URL),"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.","Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",Close-SentinelIncident-fromSNOW
772,84.66.125.76,92c3:f52c:1d13:55:f428:344b:62c2:5eb3,7C-82-FA-8A-A2-4A,11/22/2021,Morty (Lvl 1 Analyst),Critical,Passive Threat Detection (Maicious URL),"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.","Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Send-basic-email
773,213.179.49.53,b836:1f99:24e2:a80c:741a:dec5:72ea:d742,B2-40-16-3A-C2-5B,10/2/2021,Summer (Lvl 2 Analyst),Critical,Passive Threat Detection (Maicious URL),"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,Block-ExchangeIP
774,172.165.36.231,c395:8b74:33a4:2323:942d:1432:f706:7cbb,EE-2A-A9-06-6C-D1,12/8/2021,Morty (Lvl 1 Analyst),Critical,Passive Threat Detection (Traffic from known Bad IP),"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.","Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Get-GeoFromIpAndTagIncident
775,252.28.26.148,28b2:cca8:4d56:58b0:1b99:ffd5:859f:a3b8,91-F5-EA-70-9A-DA,4/25/2022,Rick (Lvl 3 Analyst),Medium,Active Threat Hunting,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,AD4IoT-AutoCloseIncidents
776,128.171.47.13,2489:236c:312:6e15:f36f:134d:5b9d:e719,FE-C2-56-3F-19-67,12/8/2021,Morty (Lvl 1 Analyst),High,Infrastructure Maintenance/Development,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.","In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",Comment-RemediationSteps
777,35.186.3.130,d4f8:d276:b91c:2332:498f:4eb2:f787:6025,57-21-A4-C9-0F-24,10/17/2021,Rick (Lvl 3 Analyst),High,Forensics,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.","Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",Enrich-Sentinel-Incident-AlienVault-OTX
778,87.178.96.151,fe92:7d78:b611:63da:4e30:d78:b8d9:8672,7C-6A-DC-68-56-79,4/6/2022,Morty (Lvl 1 Analyst),Mild,Passive Threat Detection (Traffic from known Bad IP),"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.","Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Ingest-CanaryTokens
779,228.128.190.244,8d4c:ddaa:e325:6ba4:a6da:a0cc:4f5:953a,C2-2C-86-33-CD-1C,12/24/2021,Rick (Lvl 3 Analyst),Critical,Incident Response (Breach),"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.","Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",Restrict-MDEDomain
780,197.132.247.30,d00f:e2cd:793b:5439:dbbb:4b49:e439:90aa,27-0A-B0-C8-4A-A9,12/17/2021,Morty (Lvl 1 Analyst),High,Passive Threat Detection (Failed Brute Force Attempt),Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Post-Message-Slack
781,223.16.210.56,b8ba:df3e:3afa:41c3:9588:20b7:eaaa:4ddc,A1-C6-58-E2-25-E4,7/17/2021,Morty (Lvl 1 Analyst),Mild,Incident Response (Phishing),"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,Reset-AADUserPassword
782,118.172.183.237,8aeb:58ae:9bd4:3001:ad04:fc1:abc5:aaf,3C-0D-86-72-0E-B2,10/12/2021,Summer (Lvl 2 Analyst),Critical,Active Threat Hunting,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.","Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",Get-AlienVault_OTX
783,120.230.169.197,b85f:f92b:e43a:d83b:c361:aaca:179f:e6ac,8D-F6-27-6D-20-E7,2/1/2022,Summer (Lvl 2 Analyst),Medium,Passive Threat Detection (Maicious URL),"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Run-MDEAntivirus
784,106.25.255.238,cd7a:492b:543b:ddfb:a01:4801:95f1:bbca,B0-11-E0-88-79-68,8/31/2021,Summer (Lvl 2 Analyst),Medium,Passive Threat Detection (Maicious URL),"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.","Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Sync-Sentinel-Incident-Comments-To-M365Defender
785,40.189.182.191,cd80:b188:9417:dd17:b41d:33ea:c2e3:36e4,81-DA-52-FE-F8-F1,1/26/2022,Morty (Lvl 1 Analyst),High,Passive Threat Detection (Traffic from known Bad IP),"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.","Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",IncidentUpdate -Get-SentinelAlertsEvidence
786,188.215.3.143,7cdd:424c:14b8:6675:c269:9a9c:6c97:3fe3,89-81-12-4A-9D-85,8/1/2021,Summer (Lvl 2 Analyst),Medium,Incident Response (Phishing),"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.","Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Add-IP-Entity-To-Named-Location
787,25.39.200.57,cb08:2cf9:15cd:c801:7818:f9ad:c2bf:fef4,13-18-F2-C7-92-32,2/15/2022,Morty (Lvl 1 Analyst),Medium,Active Threat Hunting,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.","Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",AS-Slack-Integration
788,5.54.197.89,9c5e:7751:e08b:f109:30a:db96:8ca0:8819,0C-44-0E-75-64-48,1/31/2022,Summer (Lvl 2 Analyst),Critical,Forensics,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Send-Teams-adaptive-card-on-incident-creation
